"","ID","Increased_Work_Hours","Work_From_Home","Hours_Worked_Per_Day","Meetings_Per_Day","Productivity_Change","Stress_Level","Health_Issue","Job_Security","Childcare_Responsibilities","Commuting_Changes","Technology_Adaptation","Salary_Changes","Team_Collaboration_Challenges","Sector","Affected_by_Covid"
"211",211,"augmentation","Oui",10.42,2.24,"Aucun changement","Medium","Oui","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Education","Oui"
"212",212,"augmentation","Oui",7.29,6.34,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","IT","Oui"
"213",213,"augmentation","Non",6.62,5.56,"Aucun changement","Medium","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Non","Healthcare","Oui"
"214",214,"Maintien ou une diminution","Oui",9.76,5.86,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Augmentation ou diminution","Non","Education","Oui"
"215",215,"augmentation","Oui",6.3,6.84,"Aucun changement","Medium","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"216",216,"Maintien ou une diminution","Oui",5.56,4.13,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Healthcare","Oui"
"217",217,"augmentation","Oui",8.55,2.49,"Aucun changement","Medium","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Retail","Oui"
"218",218,"augmentation","Oui",7.64,3.85,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","augmentation responsabilités","changements","Oui","Augmentation ou diminution","Non","Education","Oui"
"219",219,"augmentation","Oui",5.52,3.16,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Education","Oui"
"220",220,"augmentation","Non",9.28,2.94,"Augmentation ou une diminution de la productivité","High","Oui","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Non","Retail","Oui"
"221",221,"augmentation","Oui",8.93,4.23,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"222",222,"augmentation","Oui",7.29,3.54,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","IT","Oui"
"223",223,"Maintien ou une diminution","Oui",7.42,2.88,"Aucun changement","Low","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"224",224,"augmentation","Oui",8.95,3.64,"Aucun changement","Low","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Oui","Education","Oui"
"225",225,"Maintien ou une diminution","Non",10.39,4.83,"Augmentation ou une diminution de la productivité","Low","Oui","Moindre sécurité","aucun changement ou diminution","changements","Non","Augmentation ou diminution","Non","Healthcare","Oui"
"226",226,"Maintien ou une diminution","Oui",7.44,5.44,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"227",227,"augmentation","Oui",9.31,1.6,"Augmentation ou une diminution de la productivité","High","Oui","Moindre sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"228",228,"augmentation","Oui",9.14,3.55,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Non","IT","Oui"
"229",229,"augmentation","Non",9.76,3.79,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Non","Education","Oui"
"230",230,"augmentation","Oui",8.08,2.23,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Non","Education","Oui"
"231",231,"augmentation","Oui",6.18,3.83,"Aucun changement","High","Oui","Moindre sécurité","aucun changement ou diminution","changements","Non","Augmentation ou diminution","Oui","Retail","Oui"
"232",232,"augmentation","Oui",7.08,4.23,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"233",233,"augmentation","Oui",8.69,4.78,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"234",234,"augmentation","Oui",11.64,4.12,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","Retail","Oui"
"235",235,"Maintien ou une diminution","Oui",7.04,2.68,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","IT","Oui"
"236",236,"augmentation","Oui",9.61,7.02,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Non","Education","Oui"
"237",237,"Maintien ou une diminution","Oui",7.35,5.25,"Aucun changement","Medium","Oui","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Non","IT","Oui"
"238",238,"Maintien ou une diminution","Oui",8.23,4.83,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"239",239,"augmentation","Oui",11.04,5.51,"Aucun changement","Medium","Oui","Moindre sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"240",240,"Maintien ou une diminution","Oui",9.53,4.37,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Augmentation ou diminution","Non","Healthcare","Oui"
"241",241,"augmentation","Oui",5.52,5.93,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"242",242,"augmentation","Oui",6.86,4.09,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"243",243,"augmentation","Oui",10.52,4.01,"Aucun changement","Medium","Oui","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"244",244,"augmentation","Oui",8.29,4.96,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"245",245,"Maintien ou une diminution","Oui",5.71,6.37,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","Retail","Oui"
"246",246,"augmentation","Oui",6.37,6.27,"Aucun changement","Low","Oui","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Non","Retail","Oui"
"247",247,"augmentation","Non",9.41,4.89,"Aucun changement","High","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Retail","Oui"
"248",248,"augmentation","Oui",9.99,4.78,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Non","Education","Oui"
"249",249,"augmentation","Oui",8.04,5.05,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Non","Healthcare","Oui"
"250",250,"augmentation","Non",12.96,5.48,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"251",251,"Maintien ou une diminution","Oui",9.65,5.95,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Non","Augmentation ou diminution","Non","Healthcare","Oui"
"252",252,"augmentation","Oui",7.52,3.65,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Non","IT","Oui"
"253",253,"augmentation","Non",6.37,5.98,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Retail","Oui"
"254",254,"augmentation","Oui",6.06,4.52,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"255",255,"Maintien ou une diminution","Oui",8.68,4.98,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Non","Augmentation ou diminution","Oui","Healthcare","Oui"
"256",256,"augmentation","Non",7.03,6.08,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Augmentation ou diminution","Non","Retail","Oui"
"257",257,"augmentation","Oui",11.35,5.13,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Retail","Oui"
"258",258,"augmentation","Oui",10.94,5.38,"Aucun changement","High","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"259",259,"augmentation","Oui",9.27,3.42,"Augmentation ou une diminution de la productivité","Low","Oui","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"260",260,"Maintien ou une diminution","Non",5.65,6.25,"Aucun changement","Medium","Oui","Plus de sécurité","augmentation responsabilités","changements","Non","Augmentation ou diminution","Oui","IT","Oui"
"261",261,"Maintien ou une diminution","Oui",6.66,5.05,"Aucun changement","Low","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"262",262,"augmentation","Oui",10.52,4.19,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"263",263,"Maintien ou une diminution","Oui",6.88,5.66,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"264",264,"augmentation","Oui",10.25,7.89,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Non","IT","Oui"
"265",265,"augmentation","Oui",8.95,2.25,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Retail","Oui"
"266",266,"augmentation","Non",8.11,2.8,"Aucun changement","Low","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Augmentation ou diminution","Non","Healthcare","Oui"
"267",267,"augmentation","Oui",6.6,8.03,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"268",268,"augmentation","Oui",7.82,4.65,"Aucun changement","Low","Non","Plus de sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Non","IT","Oui"
"269",269,"augmentation","Oui",8.38,4.29,"Augmentation ou une diminution de la productivité","Low","Oui","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"270",270,"Maintien ou une diminution","Oui",10.07,3.83,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Non","IT","Oui"
"271",271,"augmentation","Oui",6.23,5.82,"Augmentation ou une diminution de la productivité","Low","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Retail","Oui"
"272",272,"augmentation","Oui",7.48,7.92,"Augmentation ou une diminution de la productivité","Low","Oui","Moindre sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Non","Retail","Oui"
"273",273,"augmentation","Oui",8.09,3.01,"Augmentation ou une diminution de la productivité","Medium","Oui","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","IT","Oui"
"274",274,"augmentation","Non",9.33,3.86,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Healthcare","Oui"
"275",275,"augmentation","Oui",6.19,3.48,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Oui","Retail","Oui"
"276",276,"augmentation","Oui",5.37,5.1,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","Education","Oui"
"277",277,"augmentation","Oui",9.35,5.84,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Non","Healthcare","Oui"
"278",278,"augmentation","Oui",4.97,6.44,"Augmentation ou une diminution de la productivité","Medium","Oui","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Retail","Oui"
"279",279,"Maintien ou une diminution","Oui",10.57,5.16,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Non","Retail","Oui"
"280",280,"augmentation","Oui",7.69,7.78,"Augmentation ou une diminution de la productivité","High","Oui","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Retail","Oui"
"281",281,"augmentation","Oui",4.91,3.14,"Aucun changement","Medium","Oui","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Augmentation ou diminution","Oui","IT","Oui"
"282",282,"augmentation","Oui",7.04,2.75,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Retail","Oui"
"283",283,"augmentation","Oui",8.76,6.21,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"284",284,"Maintien ou une diminution","Oui",6.94,4.19,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"285",285,"augmentation","Non",8.05,1.94,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Non","Education","Oui"
"286",286,"augmentation","Non",9.49,3.53,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"287",287,"augmentation","Oui",7.6,4.39,"Aucun changement","Low","Oui","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Oui","IT","Oui"
"288",288,"augmentation","Non",6.13,3.04,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"289",289,"Maintien ou une diminution","Oui",7.41,2.48,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Healthcare","Oui"
"290",290,"augmentation","Non",10.83,3.69,"Aucun changement","High","Non","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Non","Retail","Oui"
"291",291,"Maintien ou une diminution","Oui",11.38,2.41,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","Education","Oui"
"292",292,"Maintien ou une diminution","Non",3.97,4.96,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","IT","Oui"
"293",293,"augmentation","Oui",10.19,1.09,"Augmentation ou une diminution de la productivité","Low","Oui","Moindre sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Oui","Healthcare","Oui"
"294",294,"augmentation","Oui",8.51,4.14,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"295",295,"Maintien ou une diminution","Oui",9.85,4.78,"Aucun changement","High","Oui","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"296",296,"augmentation","Oui",6.9,3.87,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"297",297,"augmentation","Oui",4.47,5.64,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"298",298,"Maintien ou une diminution","Oui",9.17,1.95,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","Education","Oui"
"299",299,"augmentation","Non",6.12,2.95,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Augmentation ou diminution","Non","Retail","Oui"
"300",300,"Maintien ou une diminution","Oui",5.23,3.51,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"301",301,"Maintien ou une diminution","Oui",5.37,5.07,"Augmentation ou une diminution de la productivité","High","Oui","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"302",302,"augmentation","Oui",9.21,4.33,"Aucun changement","Medium","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"303",303,"augmentation","Non",8.28,7.22,"Aucun changement","High","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"304",304,"augmentation","Oui",9.57,2.8,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Non","Augmentation ou diminution","Oui","Education","Oui"
"305",305,"augmentation","Oui",9.34,1.91,"Aucun changement","Medium","Oui","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"306",306,"augmentation","Oui",7.16,6.69,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Healthcare","Oui"
"307",307,"augmentation","Oui",7.86,1.86,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Non","Education","Oui"
"308",308,"augmentation","Oui",6.98,5.03,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","augmentation responsabilités","changements","Non","Augmentation ou diminution","Non","Healthcare","Oui"
"309",309,"augmentation","Oui",7.58,2.54,"Augmentation ou une diminution de la productivité","High","Oui","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"310",310,"Maintien ou une diminution","Oui",6.07,0.9,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"311",311,"augmentation","Oui",8.79,3.44,"Aucun changement","Low","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Augmentation ou diminution","Oui","Retail","Oui"
"312",312,"Maintien ou une diminution","Oui",10.16,5.35,"Augmentation ou une diminution de la productivité","Medium","Oui","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"313",313,"Maintien ou une diminution","Oui",6.37,2.17,"Augmentation ou une diminution de la productivité","Low","Oui","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Augmentation ou diminution","Non","Education","Oui"
"314",314,"augmentation","Non",10.57,4.87,"Augmentation ou une diminution de la productivité","Medium","Oui","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"315",315,"augmentation","Oui",8.23,5.15,"Aucun changement","Low","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Non","IT","Oui"
"316",316,"augmentation","Oui",8.49,2.1,"Aucun changement","Medium","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"317",317,"augmentation","Oui",4.61,3.66,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Non","Retail","Oui"
"318",318,"Maintien ou une diminution","Oui",4.39,6.37,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"319",319,"Maintien ou une diminution","Oui",8.29,4.98,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"320",320,"Maintien ou une diminution","Non",9.58,3.61,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"321",321,"Maintien ou une diminution","Oui",6.66,4.63,"Augmentation ou une diminution de la productivité","Low","Oui","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Non","Education","Oui"
"322",322,"augmentation","Oui",11.35,2.98,"Aucun changement","Low","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"323",323,"augmentation","Oui",9.47,5.68,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Education","Oui"
"324",324,"Maintien ou une diminution","Non",6.19,5.67,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Retail","Oui"
"325",325,"augmentation","Non",8.07,4.19,"Aucun changement","Low","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Healthcare","Oui"
"326",326,"augmentation","Oui",12.96,4.35,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Oui","Retail","Oui"
"327",327,"augmentation","Oui",5.52,2.51,"Aucun changement","High","Oui","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"328",328,"augmentation","Oui",9.06,1.98,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"329",329,"augmentation","Oui",7.36,3.44,"Augmentation ou une diminution de la productivité","Low","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"330",330,"Maintien ou une diminution","Oui",9.42,3.87,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"331",331,"augmentation","Oui",10.54,5.6,"Aucun changement","High","Non","Moindre sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"332",332,"augmentation","Oui",7.23,5.39,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"333",333,"augmentation","Non",10.24,4.28,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"334",334,"Maintien ou une diminution","Oui",12.45,5.79,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Non","Education","Oui"
"335",335,"Maintien ou une diminution","Non",8.14,2.59,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"336",336,"Maintien ou une diminution","Oui",9.57,5.62,"Aucun changement","Medium","Oui","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Non","Healthcare","Oui"
"337",337,"augmentation","Oui",6.82,2.82,"Aucun changement","Medium","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"338",338,"augmentation","Oui",8.04,5.86,"Aucun changement","Medium","Oui","Plus de sécurité","aucun changement ou diminution","changements","Oui","Augmentation ou diminution","Oui","IT","Oui"
"339",339,"augmentation","Oui",7.65,3.98,"Aucun changement","Medium","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"340",340,"Maintien ou une diminution","Oui",9.6,1.01,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","Retail","Oui"
"341",341,"augmentation","Non",10.41,5.1,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"342",342,"augmentation","Oui",7.79,5.22,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"343",343,"Maintien ou une diminution","Non",11.07,3.32,"Aucun changement","High","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Non","Augmentation ou diminution","Oui","IT","Oui"
"344",344,"augmentation","Oui",11.07,3.45,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Augmentation ou diminution","Oui","Education","Oui"
"345",345,"augmentation","Oui",9.7,3.77,"Augmentation ou une diminution de la productivité","Low","Oui","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"346",346,"augmentation","Oui",6.97,1.12,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"347",347,"augmentation","Oui",6.78,0.46,"Aucun changement","Medium","Non","Moindre sécurité","augmentation responsabilités","changements","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"348",348,"Maintien ou une diminution","Oui",6.38,5.96,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Non","Education","Oui"
"349",349,"augmentation","Oui",9.9,2.77,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Non","Retail","Oui"
"350",350,"augmentation","Oui",5.58,6.79,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"351",351,"augmentation","Oui",9.36,6.06,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"352",352,"augmentation","Oui",5.84,6.36,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Non","IT","Oui"
"353",353,"augmentation","Non",9.65,3.03,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"354",354,"Maintien ou une diminution","Oui",8.04,1.59,"Augmentation ou une diminution de la productivité","High","Oui","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Non","Education","Oui"
"355",355,"Maintien ou une diminution","Oui",10.67,2.37,"Aucun changement","High","Oui","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"356",356,"augmentation","Non",10.29,3.34,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"357",357,"Maintien ou une diminution","Oui",10.88,0.45,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Augmentation ou diminution","Non","Healthcare","Oui"
